edition	version	module	symsrv_key	pdb_path
lod	1.08	D2Client.dll	3B2EB4371	C:\Projects\Diablo2\Release\D2Client.pdb
lod	1.08	D2Common.dll	3B2EB2DD1	C:\Projects\Diablo2\Release\D2Common.pdb
lod	1.08	D2DDraw.dll	3B2EB44C1	C:\Projects\Diablo2\Release\D2DDraw.pdb
lod	1.08	D2Direct3D.dll	3B2EB4531	C:\Projects\Diablo2\Release\D2Direct3D.pdb
lod	1.08	D2Game.dll	3B2EB3531	C:\Projects\Diablo2\Release\D2Game.pdb
lod	1.08	D2Gdi.dll	3B2EB4581	C:\Projects\Diablo2\Release\D2Gdi.pdb
lod	1.08	D2Glide.dll	3B2EB45E1	C:\Projects\Diablo2\Release\D2Glide.pdb
lod	1.08	D2Lang.dll	3B2EB2871	C:\Projects\Diablo2\Release\D2Lang.pdb
lod	1.08	D2Launch.dll	3B2EB46D1	C:\Projects\Diablo2\Release\D2Launch.pdb
lod	1.08	D2MCPClient.dll	3B2EB3621	C:\Projects\Diablo2\Release\D2MCPClient.pdb
lod	1.08	D2Multi.dll	3B2EB4781	C:\Projects\Diablo2\Release\D2Multi.pdb
lod	1.08	D2Net.dll	3B2EB2E61	C:\Projects\Diablo2\Release\D2Net.pdb
lod	1.08	D2Sound.dll	3B2EB3661	C:\Projects\Diablo2\Release\D2Sound.pdb
lod	1.08	D2Win.dll	3B2EB3781	C:\Projects\Diablo2\Release\D2Win.pdb
lod	1.08	D2gfx.dll	3B2EB35F1	C:\Projects\Diablo2\Release\D2gfx.pdb
lod	1.08	Fog.dll	3B2EB2771	C:\Projects\Diablo2\Release\Fog.pdb
lod	1.08	Storm.dll	3B1BFB441	C:\Projects\Diablo2\Release\Storm.pdb
lod	1.09	Bnclient.dll	3B7C4E2B1	C:\Projects\Diablo2\Release\Bnclient.pdb
lod	1.09	D2CMP.dll	3B7C4E191	C:\Projects\Diablo2\Release\D2CMP.pdb
lod	1.09	D2Client.dll	3B7C50761	C:\Projects\Diablo2\Release\D2Client.pdb
lod	1.09	D2Common.dll	3B7C4EA31	C:\Projects\Diablo2\Release\D2Common.pdb
lod	1.09	D2DDraw.dll	3B7C50891	C:\Projects\Diablo2\Release\D2DDraw.pdb
lod	1.09	D2Direct3D.dll	3B7C50901	C:\Projects\Diablo2\Release\D2Direct3D.pdb
lod	1.09	D2Game.dll	3B7C4F631	C:\Projects\Diablo2\Release\D2Game.pdb
lod	1.09	D2Gdi.dll	3BFC51161	C:\Projects\Diablo2\Release\D2Gdi.pdb
lod	1.09	D2Glide.dll	3BFC511D1	C:\Projects\Diablo2\Release\D2Glide.pdb
lod	1.09	D2Lang.dll	3B7C4E1E1	C:\Projects\Diablo2\Release\D2Lang.pdb
lod	1.09	D2Launch.dll	3B7C50AB1	C:\Projects\Diablo2\Release\D2Launch.pdb
lod	1.09	D2MCPClient.dll	7B7C8F751	C:\Projects\Diablo2\Release\D2MCPClient.pdb
lod	1.09	D2Multi.dll	3B7C50B61	C:\Projects\Diablo2\Release\D2Multi.pdb
lod	1.09	D2Net.dll	7B7C8ED31	C:\Projects\Diablo2\Release\D2Net.pdb
lod	1.09	D2Sound.dll	3BFC4FF91	C:\Projects\Diablo2\Release\D2Sound.pdb
lod	1.09	D2Win.dll	3B7C4F8D1	C:\Projects\Diablo2\Release\D2Win.pdb
lod	1.09	D2gfx.dll	3B7C4F711	C:\Projects\Diablo2\Release\D2gfx.pdb
lod	1.09	Fog.dll	3B7C4E0F1	C:\Projects\Diablo2\Release\Fog.pdb
